page_url,title_upper,model_product,end_date,product_quality,end_status,price,price_mean_live,price_mean_not_sold,price_mean_sold,price_min_live,price_min_not_sold,price_min_sold,price_max_live,price_max_not_sold,price_max_sold,price_count_live,price_count_not_sold,price_count_sold,price_sold_max_dif,price_not_sold_min_dif,price_sold_mean_dif
https://www.ricardo.ch/fr/a/canon-ef-s-18-55mm-f-3.5-5.6-ii-lens-1197623976/,CANON EF-S 18-55MM F3.5-5.6 II LENS,CANON EF-S 18-55MM F3.5-5.6 IS II,2022-02-15,D'occasion,live,65.0,65.0,52.0,50.0,65.0,52.0,50.0,65.0,52.0,50.0,1.0,1.0,1.0,-15.0,-13.0,-15.0
https://www.ricardo.ch/fr/a/objectif-canon-ef-s-10-18mm-1196736308/,OBJECTIF CANON EF-S 10-18MM,CANON EF-S 10-18MM F4.5-5.6 IS STM,2022-02-14,Neuf avec emballage d'origine,live,220.0,220.0,,110.75,220.0,,90.0,220.0,,139.0,1.0,,4.0,-81.0,,-109.25
https://www.ricardo.ch/fr/a/canon-ef-100-400mm-f4.5-5.6l-is-usm-1194822538/,CANON EF 100-400MM F4.5-5.6 L IS USM,CANON EF 100-400MM F4.5-5.6 L IS USM,2022-01-05,D'occasion,not sold,929.0,900.0,914.0,773.5,900.0,899.0,620.0,900.0,929.0,899.0,1.0,2.0,4.0,-30.0,-30.0,-155.5
https://www.ricardo.ch/fr/a/canon-ef-15mm-f-2.8-fisheye-1195023112/,CANON EF 15MM F2.8 FISHEYE,CANON EF 15MM F2.8 FISHEYE WIDE ANGLE,2022-02-11,D'occasion,live,480.0,480.0,,237.0,480.0,,195.0,480.0,,279.0,1.0,,2.0,-201.0,,-243.0
https://www.ricardo.ch/fr/a/canon-ef-24-105-objektiv-1194483726/,CANON EF 24-105MM OBJEKTIV,CANON EF 24-105MM F3.5-5.6 IS STM,2022-01-22,D'occasion,sold,210.0,,,295.0,,,210.0,,,380.0,,,2.0,170.0,,85.0
https://www.ricardo.ch/fr/a/canon-ef-s-55-250-mm-f-4-0-5-6-is-st-1197920248/,CANON EF-S 55-250MM F4.0-5.6 IS ST,CANON EF-S 55-250MM F4.0-5.6 IS,2022-02-15,D'occasion,live,140.0,150.0,96.5,87.2,140.0,77.0,70.0,160.0,150.0,100.0,2.0,4.0,5.0,-40.0,-63.0,-52.8
https://www.ricardo.ch/fr/a/canon-ef-70-200mm-f-4-l-is-usm-1192374122/,CANON EF 70-200MM F4 L IS USM,CANON EF 70-200MM F4.0 L IS USM,2021-12-12,D'occasion,sold,385.0,782.3625,527.875,628.5333333333333,500.0,390.0,330.0,999.9,789.0,1331.0,8.0,8.0,15.0,946.0,5.0,243.5333333333333
https://www.ricardo.ch/fr/a/objektiv-canon-ef-s-15-85mm-1193626252/,OBJEKTIV CANON EF-S 15-85MM,CANON EF-S 10-22MM F3.5-4.5,2022-02-12,Neuf (Voir description),live,450.0,475.0,300.0,,450.0,300.0,,500.0,300.0,,2.0,2.0,,,-150.0,
https://www.ricardo.ch/fr/a/canon-ef-s-55-250mm-f-4-5.6-is-1197248186/,CANON EF-S 55-250MM F4-5.6 IS,CANON EF-S 55-250MM F4.0-5.6 IS,2022-02-05,D'occasion,sold,70.0,150.0,96.5,87.2,140.0,77.0,70.0,160.0,150.0,100.0,2.0,4.0,5.0,30.0,7.0,17.200000000000003
https://www.ricardo.ch/fr/a/canon-ef-s-18-55mm-f-3.5-5.6-is-stm-1196798548/,CANON EF-S 18-55MM F3.5-5.6 IS STM,CANON EF-S 18-55MM F3.5-5.6 IS,2022-02-11,Neuf (Voir description),live,129.0,97.0,79.0,42.0,65.0,79.0,18.0,129.0,79.0,65.0,2.0,2.0,8.0,-64.0,-50.0,-87.0
https://www.ricardo.ch/fr/a/canon-ef-24-105mm-1194797794/,CANON EF 24-105MM,CANON EF 24-105MM F3.5-5.6 IS STM,2022-01-23,D'occasion,sold,380.0,,,295.0,,,210.0,,,380.0,,,2.0,0.0,,-85.0
https://www.ricardo.ch/fr/a/canon-objektiv-ef-80-200mm-auto-focus-1197037364/,CANON OBJEKTIV EF 80-200MM AUTO FOCUS,CANON EF 80-200MM F4.5-5.6,2022-03-06,D'occasion,live,59.0,59.0,50.0,39.0,59.0,50.0,39.0,59.0,50.0,39.0,1.0,1.0,1.0,-20.0,-9.0,-20.0
